catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FW03823,Folkways Records,1960,Furry Lewis,Furry Lewis,United States,African American,Blues,"Bottleneck (Guitar playing); Guitar; Vocals",,"Blues; Oral history",http://www.folkways.si.edu/furry-lewis/blues/music/album/smithsonian,United States,-141.588776303243,66.7280313208252
FW03824,Folkways Records,1961,Arbee's Blues,Arbee Stidham,United States,African American,Blues,"Drum; Electronic organ; Guitar; Organ (Musical instrument); Piano",,Blues,http://www.folkways.si.edu/arbee-stidham/arbees-blues/music/album/smithsonian,United States,-136.8911590438,59.0322720720546
FW03825,Folkways Records,1961,The Women Blues of Champion Jack Dupree,Champion Jack Dupree,United States,African American,Blues,"Piano; Vocals",,Blues,http://www.folkways.si.edu/champion-jack-dupree/the-women-blues-of/music/album/smithsonian,United States,-146.583829826673,61.8122627917574
FW03826,Folkways Records,1961,Blues by Jazz Gillum Singing and Playing His Harmonica: With Arbee Stidham and Memphis Slim,Jazz Gillum,United States,African American,Blues,"Electronic organ; Guitar; Harmonica; Organ (Musical instrument); Piano",,Blues,http://www.folkways.si.edu/blues-by-jazz-gillum-singing-and-playing-his-harmonica-with-arbee-stidham-and-memphis-slim/music/album/smithsonian,United States,-160.485968091638,68.6459387690895
FW03828,Folkways Records,1958,Banjo Tunes and Songs,Pete Steele,United States,Anglo-American,"American Folk; Old Time","Banjo; Vocals",,"Ballads; Banjo music; Crime; Dance; Disasters; Folk music--Kentucky; Folk songs--Kentucky; Folk songs--United States; Instrumental music; Love songs; Maritime; Marriage; Military music; Mining--Songs and music; Murder; Music--Appalachian Region, Southern.; Old-time music; Protest songs; Religious; Working class--Songs and music",http://www.folkways.si.edu/pete-steele/banjo-tunes-and-songs/american-folk-old-time/music/album/smithsonian,United States,-158.235025185786,61.3110628195646
FW03829,Folkways Records,1983,"Virginia Mountain Boys, Vol. 4",The Virginia Mountain Boys,United States,Anglo-American,Bluegrass,"Banjo; Bass; Fiddle; Guitar; Vocals",,"Bluegrass music; Courtship; Crime; Folksong revival; Gospel music; Hymns; Love songs; Mining--Songs and music; Oral history; Prison songs; Sentimental; Spirituals (Songs); String band",http://www.folkways.si.edu/the-virginia-mountain-boys/vol-4/bluegrass/music/album/smithsonian,United States,-143.670846154672,61.6811416416109
FW03830,Folkways Records,1974,Glen Neaves and the Virginia Mountain Boys: Country Bluegrass from Southwest Virginia,The Virginia Mountain Boys,United States,Anglo-American,Bluegrass,"Banjo; Bass; Fiddle; Guitar; Mandolin",,"Ballads; Bluegrass music; Complaint; Crime; Dance; Laments; Love songs; Military music; Murder; Religious; Sentimental; String band; Temperance; Tragic songs",http://www.folkways.si.edu/glen-neaves-and-the-virginia-mountain-boys-country-bluegrass-from-southwest-virginia/music/album/smithsonian,United States,-93.8692516011943,46.1164293199323
FW03831,Folkways Records,1968,Ballads and Songs of the Blue Ridge Mountains: Persistence and Change,Various Artists,United States,Anglo-American,"American Folk; Old Time","Banjo; Bass; Fiddle; Guitar",,"Ballads; Blues; Courtship; Crime; Dance; Fiddle tunes; Folk songs--United States; Folksong revival; Grief; Love songs; Maritime; Marriage; Military music; Murder; Old-time music; Sentimental; String band; Tragic songs",http://www.folkways.si.edu/ballads-and-songs-of-the-blue-ridge-mountains-persistence-and-change/american-folk-old-time/music/album/smithsonian,United States,-170.120055853454,63.2489520476444
FW03832,Folkways Records,1967,Bluegrass From the Blue Ridge: A Half Century of Change: Country Band Music of Virginia,Various Artists,United States,Anglo-American,"Bluegrass; Old Time","Banjo; Bass; Fiddle; Guitar; Mandolin",,"Ballads; Bluegrass music; Crime; Dance; Old-time music; String band",http://www.folkways.si.edu/bluegrass-from-the-blue-ridge-a-half-century-of-change-country-band-music-of-virginia/old-time/music/album/smithsonian,United States,-113.831294040993,37.0499674781257
FW03833,Folkways Records,1977,"The Virginia Mountain Boys, Vol. 2: Bluegrass String Band",The Virginia Mountain Boys,United States,Anglo-American,Bluegrass,"Banjo; Bass; Fiddle; Guitar; Mandolin",,"Ballads; Bluegrass music; Crime; Fiddle tunes; Folk songs--United States; Laments; Love songs; Marriage; Murder; Old-time music; Railroads--Songs and music; Sentimental; String band; Topical songs",http://www.folkways.si.edu/the-virginia-mountain-boys/vol-2-bluegrass-string-band/music/album/smithsonian,United States,-94.8159733325419,35.9138293377411
FW03847,Folkways Records,1964,"Folk Guitar, Bahaman Ballads and Rhyming Spirituals","Joseph Spence, John Roberts and Frederick McQueen",Bahamas,African Caribbean,"Caribbean; World",Guitar,,"Ballads; Gospel music; Hymns; Instrumental music; Maritime; Religious; Spirituals (Songs); World music",http://www.folkways.si.edu/joseph-spence-john-roberts-and-frederick-mcqueen/folk-guitar-bahaman-ballads-and-rhyming-spirituals/caribbean-world/music/album/smithsonian,The Bahamas,-78.6583706307307,26.5866736541872
FW03840,Folkways Records,1973,"John's Island, South Carolina: Its People and Songs",Various Artists,United States,African American,"African American Music; American Folk; Gospel",Guitar,,"Dance; Folk songs--United States; Games; Gospel music; Hymns; Religious; Sermons; Spoken word",http://www.folkways.si.edu/johns-island-south-carolina-its-people-and-songs/african-american-music-folk-gospel/album/smithsonian,United States,-83.7190844336604,30.609881574709
FW03841,Folkways Records,1964,Sea Island Folk Festival: Moving Star Hall Singers and Alan Lomax,The Moving Star Hall Singers,United States,"African American; Anglo-American","African American Music; American Folk; Gospel",,,"Blues; Folk tales and legends; Gospel music; Monologues; Music--Juvenile; Spirituals (Songs)",http://www.folkways.si.edu/sea-island-folk-festival-moving-star-hall-singers-and-alan-lomax/african-american-music-folk-gospel/album/smithsonian,United States,-76.6321389036063,39.3690267004039
FW03842,Folkways Records,1967,"Been in the Storm So Long - Spirituals & Shouts, Children's Game Songs, and Folktales",The Moving Star Hall Singers,United States,African American,"African American Spoken; Children's; Gospel",,,"Folk tales and legends; Gospel music; Music--Juvenile; Prayer; Spirituals (Songs)",http://www.folkways.si.edu/the-moving-star-hall-singers/been-in-the-storm-so-long-spirituals-shouts-childrens-game-songs-and-folktales/african-american-spoken-gospel/music/album/smithsonian,United States,-104.067792216249,39.4460529268721
FW03843,Folkways Records,1978,F. D. Kirkpatrick Hosts the Louisiana Folk Fest,Various Artists,United States,African American,"African American Music; American Folk; Gospel",,,"Gospel music; Spirituals (Songs)",http://www.folkways.si.edu/f-d-kirkpatrick-hosts-the-louisiana-folk-fest/african-american-music-gospel/album/smithsonian,United States,-70.8007258647,45.3213802376554
FW03848,Folkways Records,1977,Between the Sound and the Sea: Music of the North Carolina Outer Banks,Various Artists,United States,Anglo-American,American Folk,"Harmonica; Mandolin; Whistle",,"Ballads; Disasters; Drinking songs; Folk songs--United States; Instrumental music; Love songs; Lullabies; Maritime; Murder; Nonsense literature; Wit and humor",http://www.folkways.si.edu/between-the-sound-and-the-sea-music-of-the-north-carolina-outer-banks/american-folk/music/album/smithsonian,United States,-110.46585875793,47.1069841778933
FW03851,Folkways Records,1960,Indian Summer: Original Soundtrack,Pete and Mike Seeger,United States,Anglo-American,"American Folk; Soundtracks &amp; Musicals; Struggle &amp; Protest","Banjo; Chalil; Drum; Fiddle; Guitar; Harmonica; Mandolin; Organ (Musical instrument); Recorder (Muscial instrument); Twelve string guitar",,"Folksong revival; Motion picture soundtracks; Protest songs; Topical songs",http://www.folkways.si.edu/pete-and-mike-seeger/indian-summer-original-soundtrack/american-folk-soundtracks-musicals-struggle-protest/music/album/smithsonian,United States,-76.5678442959704,38.5455499575536
FW03852,Folkways Records,1957,"The Cannonsville Story: From the Film ""Kinfolks""",Grant Rogers and Robert Gregory,United States,Anglo-American,"Soundtracks &amp; Musicals; Struggle &amp; Protest",Fiddle,,"Animals; Fiddle tunes; Folksong revival; Motion picture soundtracks; Narratives; Railroads--Songs and music",http://www.folkways.si.edu/grant-rogers-and-robert-gregory/the-cannonsville-story-from-the-film-kinfolks/soundtracks-musicals-struggle-protest/music/album/smithsonian,United States,-103.430900134934,31.684059567706
FW03853,Folkways Records,1961,All the Homespun Days: A Narrative Poem of New York State Life,Norman Studer,United States,Anglo-American,Poetry,,,"Documentary; Folksong revival; Narratives; Poetry; Spoken word",http://www.folkways.si.edu/norman-studer/all-the-homespun-days-a-narrative-poem-of-new-york-state-life/poetry/album/smithsonian,United States,-158.169036873181,66.1213665490955
SFW40130,Smithsonian Folkways Recordings,2000,The Best of Broadside 1962-1988: Anthems of the American Underground from the Pages of Broadside Magazine,Various Artists,United States,,American Folk,"Autoharp; Banjo; Concertina; Fiddle; Guitar; Piano",English,"Folk songs--United States; Folksong revival; Jazz; Music--British Isles; Rock music; Topical songs",http://www.folkways.si.edu/the-best-of-broadside-1962-1988-anthems-of-the-american-underground-from-the-pages-of-broadside-magazine/folk/music/album/smithsonian,United States,-148.246287272677,65.3988109796353
FW03845,Folkways Records,1959,"Music of the Bahamas, Vol. 2: Anthems, Work Songs and Ballads",Various Artists,Bahamas,African Caribbean,"Caribbean; Sacred; World",,,"Music--Bahamas; Narratives; Prayer; Spirituals (Songs); World music",http://www.folkways.si.edu/music-of-the-bahamas-vol-2-anthems-work-songs-and-ballads/caribbean-sacred-world/album/smithsonian,The Bahamas,-77.5654589482918,24.1367009148577
FW03856,Folkways Records,1971,Play Me a Movie: Piano Music to Accompany Silent Movie Scenes,Abraham Lass,United States,Anglo-American,"Soundtracks &amp; Musicals",Piano,,"Instrumental music; Maritime; Motion picture soundtracks; Popular music--United States",http://www.folkways.si.edu/abraham-lass/play-me-a-movie-piano-music-to-accompany-silent-movie-scenes/soundtracks-musicals/music/album/smithsonian,United States,-102.857847227991,38.8240952816963
FW08704,Folkways Records,1966,Armenian Choral Music,Armenian National Choral Society of Boston,,,World,,,World music,http://www.folkways.si.edu/armenian-national-choral-society-of-boston/world/music/album/smithsonian,,,
FW03857,Folkways Records,1960,"Music of Kern, Gershwin, Rogers, Youmans and Arthur Schwartz",Milton Rettenberg,United States,Anglo-American,"American Popular; Soundtracks &amp; Musicals",Piano,,"Instrumental music; Popular music; Popular music--United States",http://www.folkways.si.edu/milton-rettenberg/music-of-kern-gershwin-rogers-youmans-and-arthur-schwartz/american-popular-soundtracks-musicals/album/smithsonian,United States,-83.2581874695045,29.7512344210018
FW03858,Folkways Records,1959,Song and Dance Man: Popular American Song Hits 1913-1928 With Don Meehan and the Dave Carey Orchestra,Don Meehan and the Dave Carey Orchestra,United States,Anglo-American,American Popular,,,"Popular music--United States; Vaudeville",http://www.folkways.si.edu/don-meehan-and-the-dave-carey-orchestra/song-and-dance-man-popular-american-song-hits-1913-1928/american-popular/music/album/smithsonian,United States,-116.018950060325,47.0078363948467
FW03859,Folkways Records,1959,My Own True Love and Other Tunes and Songs: Leo Stephenson and Leo Paul,Leo Stephenson and Leo Paul,United States,,American Popular,Saxophone,,Popular music--United States,http://www.folkways.si.edu/leo-stephenson-and-leo-paul/my-own-true-love-and-other-tunes-and-songs/american-popular/music/album/smithsonian,United States,-92.6866456117079,40.7777490129687
FW03861,Folkways Records,1955,"Radio Programme, No. 1: Henry Jacobs' ""Music and Folklore""",Various Artists,"India; United States",,"Humor; Soundtracks &amp; Musicals","Flute; Percussion instruments; Sitar; Tabla; Tape recorder music",,"Avant-garde (Music); Drum music; Electronic music; Interviews; Lectures and lecturing; Radio programs; Satire",http://www.folkways.si.edu/radio-programme-no-1-henry-jacobs-music-and-folklore/humor-soundtracks-musicals/album/smithsonian,India,75.3382371152749,12.0802902837372
FW03864,Folkways Records,1956,"Studs Terkel's Weekly Almanac: Radio Programme, No. 4: Folk Music and Blues","Studs Terkel, Big Bill Broonzy and Pete Seeger",United States,African American,"American Folk; American History; Blues",Guitar,,"Blues; Folksong revival; Radio programs",http://www.folkways.si.edu/studs-terkel-big-bill-broonzy-and-pete-seeger/weekly-almanac-radio-programme-no-4-folk-music-and-blues/american-history/album/smithsonian,United States,-154.274870908436,68.2727539139851
FW03870,Folkways Records,1957,Veep: Former Vice-President Alben W. Barkley Tells His Own Story,Alben W. Barkley,United States,Anglo-American,"Oral History &amp; Biography",,,"Documentary; Interviews; Oral history",http://www.folkways.si.edu/alben-w-barkley/veep-former-vice-president-tells-his-own-story/oral-history-biography/album/smithsonian,United States,-85.0477349684978,34.3842977192457
FW03881,Folkways Records,1956,"Anthems of All Nations, Vol. 1 & 2",Various Artists,"Australia; Belgium; Brazil; Canada; Cuba; Czech Republic; France; Germany; Greece; Ireland; Israel; Italy; Japan; Mexico; Netherlands; New Zealand; Panama; Philippines; Poland; Scotland; Turkey; United Kingdom; United States; USSR (former); Yugoslavia (former)",,"Central Asia; Classical; Islamica",,"French; German; Greek; Hebrew (traditional); Italian; Japanese; Polish; Portuguese; Russian; Spanish; Turkish","Anthems; Military music; Patriotic songs",http://www.folkways.si.edu/anthems-of-all-nations-vol-1-2/central-asia-classical-islamica/music/album/smithsonian,Australia,151.1589527843,-32.4818746241853
SFW40131,Smithsonian Folkways Recordings,2000,Trouble in Mind,Big Bill Broonzy,United States,African American,Blues,"Guitar; Vocals",English,Blues,http://www.folkways.si.edu/big-bill-broonzy/trouble-in-mind/blues/music/album/smithsonian,United States,-173.612415986591,52.1107443311389
FW03886,Folkways Records,1961,"Phono-Cylinders, Vol. 1: Edited by and from the Collection of George A. Blacker",Various Artists,"United Kingdom; United States",Anglo-American,"American Popular; Documentary",Drum,,"Choral music; Concert band; Dance; Drama; Jazz; Lectures and lecturing; Monologues; Motion picture soundtracks; Music; Popular music--United States; Ragtime; Speeches, addresses, etc.; Spoken word; Theater; United States History; Wit and humor",http://www.folkways.si.edu/phono-cylinders-vol-1-edited-by-and-from-the-collection-of-george-a-blacker/american-popular-documentary/album/smithsonian,United Kingdom,-2.81368349576027,56.7078437883569
